================ Training Loss (Tue Sep  8 19:09:50 2026) ================
[Rank 0] (epoch: 1, iters: 8800, time: 0.210, data: 0.068) , G_GAN: 0.322, G_NCE: 2.275, Proj_distill: 0.000, Proj_pyramid: 0.005, Proj_sparse: 0.000, D: 0.076, noise_std: 0.212, white_ratio: 0.057

[Rank 0] (epoch: 1, iters: 8900, time: 0.210, data: 0.070) , G_GAN: 0.207, G_NCE: 1.990, Proj_distill: 0.000, Proj_pyramid: 0.014, Proj_sparse: 0.000, D: 0.053, noise_std: 0.211, white_ratio: 0.198

[Rank 0] (epoch: 1, iters: 9000, time: 0.304, data: 0.067) , G_GAN: 0.115, G_NCE: 2.124, Proj_distill: 0.000, Proj_pyramid: 0.007, Proj_sparse: 0.000, D: 0.074, noise_std: 0.210, white_ratio: 0.233

[Rank 0] (epoch: 1, iters: 9100, time: 0.203, data: 0.074) , G_GAN: 0.336, G_NCE: 1.921, Proj_distill: 0.000, Proj_pyramid: 0.005, Proj_sparse: 0.000, D: 0.039, noise_std: 0.209, white_ratio: 0.184

[Rank 0] (epoch: 1, iters: 9200, time: 0.202, data: 0.057) , G_GAN: 0.252, G_NCE: 1.889, Proj_distill: 0.000, Proj_pyramid: 0.010, Proj_sparse: 0.000, D: 0.055, noise_std: 0.208, white_ratio: 0.185

[Rank 0] (epoch: 1, iters: 9300, time: 0.203, data: 0.070) , G_GAN: 0.208, G_NCE: 2.003, Proj_distill: 0.000, Proj_pyramid: 0.006, Proj_sparse: 0.000, D: 0.066, noise_std: 0.207, white_ratio: 0.285

[Rank 0] (epoch: 1, iters: 9400, time: 0.207, data: 0.068) , G_GAN: 0.268, G_NCE: 2.366, Proj_distill: 0.000, Proj_pyramid: 0.006, Proj_sparse: 0.000, D: 0.056, noise_std: 0.206, white_ratio: 0.221

[Rank 0] (epoch: 1, iters: 9500, time: 0.204, data: 0.062) , G_GAN: 0.266, G_NCE: 2.022, Proj_distill: 0.000, Proj_pyramid: 0.005, Proj_sparse: 0.000, D: 0.056, noise_std: 0.205, white_ratio: 0.200

[Rank 0] (epoch: 1, iters: 9600, time: 0.205, data: 0.072) , G_GAN: 0.140, G_NCE: 2.030, Proj_distill: 0.000, Proj_pyramid: 0.007, Proj_sparse: 0.000, D: 0.043, noise_std: 0.204, white_ratio: 0.179

[Rank 0] (epoch: 1, iters: 9700, time: 0.206, data: 0.069) , G_GAN: 0.254, G_NCE: 1.912, Proj_distill: 0.000, Proj_pyramid: 0.021, Proj_sparse: 0.000, D: 0.049, noise_std: 0.203, white_ratio: 0.174

[Rank 0] (epoch: 1, iters: 9800, time: 0.205, data: 0.067) , G_GAN: 0.189, G_NCE: 1.965, Proj_distill: 0.000, Proj_pyramid: 0.003, Proj_sparse: 0.000, D: 0.043, noise_std: 0.202, white_ratio: 0.118

[Rank 0] (epoch: 1, iters: 9900, time: 0.205, data: 0.064) , G_GAN: 0.270, G_NCE: 1.947, Proj_distill: 0.000, Proj_pyramid: 0.004, Proj_sparse: 0.000, D: 0.066, noise_std: 0.201, white_ratio: 0.249

[Rank 0] (epoch: 1, iters: 10000, time: 0.288, data: 0.072) , G_GAN: 0.359, G_NCE: 1.955, Proj_distill: 0.000, Proj_pyramid: 0.004, Proj_sparse: 0.000, D: 0.041, noise_std: 0.200, white_ratio: 0.132

[Rank 0] (epoch: 2, iters: 100, time: 0.205, data: 0.076) , G_GAN: 0.270, G_NCE: 1.770, Proj_distill: 0.000, Proj_pyramid: 0.009, Proj_sparse: 0.000, D: 0.037, noise_std: 0.199, white_ratio: 0.106

